date,province,confirmed,deaths,recovered
2020-04-26,KPK,1864,98,515
2020-04-26,Punjab,5446,83,1183
2020-04-27,AJK,65,0,35
2020-04-27,Balochistan,853,14,176
2020-04-27,GB,320,3,222
2020-04-27,Islamabad,261,4,36
2020-04-27,KPK,1984,104,533
2020-04-27,Punjab,5640,91,1306
2020-04-28,AJK,65,0,37
2020-04-28,Balochistan,915,14,176
2020-04-28,GB,330,3,224
2020-04-28,Islamabad,297,4,36
2020-04-28,KPK,2160,114,562
2020-04-28,Punjab,5827,100,1427
2020-04-28,Sindh,5291,92,963
2020-04-29,AJK,66,0,37
2020-04-29,Balochistan,978,14,180
2020-04-29,GB,333,3,228
2020-04-29,Islamabad,313,4,44
2020-04-29,KPK,2381,137,614
2020-04-29,Punjab,6061,103,1780
2020-04-29,Sindh,5695,100,1169
2020-04-30,AJK,66,0,43
2020-04-30,Balochistan,1049,14,183
2020-04-30,GB,339,3,248
2020-04-30,Islamabad,343,4,44
2020-04-30,KPK,2627,146,654
2020-04-30,Punjab,6340,106,1921
2020-04-30,Sindh,6053,112,1222
2020-05-01,AJK,66,0,43
2020-05-01,Balochistan,1136,16,183
2020-05-01,GB,340,3,255
2020-05-01,Islamabad,365,4,44
2020-05-01,KPK,2799,161,690
2020-05-01,Punjab,6733,115,2205
2020-05-01,Sindh,6675,118,1295
2020-05-02,AJK,67,0,44
2020-05-02,Balochistan,1172,19,183
2020-05-02,GB,356,3,260
2020-05-02,Islamabad,393,4,55
2020-05-02,KPK,2907,172,728
2020-05-02,Punjab,7106,120,2206
2020-05-02,Sindh,7102,122,1341
2020-05-03,AJK,71,0,44
2020-05-03,Balochistan,1218,21,197
2020-05-03,GB,364,3,260
2020-05-03,Islamabad,415,4,56
2020-05-03,KPK,3129,180,811
2020-05-03,Punjab,7524,124,2667
2020-05-03,Sindh,7465,130,1555
2020-05-04,AJK,71,0,49
2020-05-04,Balochistan,1321,21,197
2020-05-04,GB,372,3,279
2020-05-04,Islamabad,464,4,56
2020-05-04,KPK,3288,185,856
2020-05-04,Punjab,8103,136,2716
2020-05-04,Sindh,7882,137,1629
2020-05-05,AJK,76,0,54
2020-05-05,Balochistan,1495,21,206
2020-05-05,GB,386,3,282
2020-05-05,Islamabad,485,4,56
2020-05-05,KPK,3499,194,875
2020-05-05,Punjab,8420,156,3073
2020-05-05,Sindh,8189,148,1671
2020-05-06,AJK,76,0,57
2020-05-06,Balochistan,1659,22,209
