Alue;Aika;val
Etelä-Savon SHP;2020-06-30;0
Itä-Savon SHP;2020-06-30;0
Pohjois-Karjalan SHP;2020-06-30;0
Pohjois-Savon SHP;2020-06-30;0
Keski-Suomen SHP;2020-06-30;1
Etelä-Pohjanmaan SHP;2020-06-30;0
Vaasan SHP;2020-06-30;0
Keski-Pohjanmaan SHP;2020-06-30;0
Pohjois-Pohjanmaan SHP;2020-06-30;0
Kainuun SHP;2020-06-30;0
Länsi-Pohjan SHP;2020-06-30;0
Lapin SHP;2020-06-30;1
Helsingin ja Uudenmaan SHP;2020-06-30;7
Kaikki Alueet;2020-06-30;10
Ahvenanmaa;2020-07-01;0
Varsinais-Suomen SHP;2020-07-01;0
Satakunnan SHP;2020-07-01;0
Kanta-Hämeen SHP;2020-07-01;0
Pirkanmaan SHP;2020-07-01;0
Päijät-Hämeen SHP;2020-07-01;0
Kymenlaakson SHP;2020-07-01;0
Etelä-Karjalan SHP;2020-07-01;0
Etelä-Savon SHP;2020-07-01;0
Itä-Savon SHP;2020-07-01;0
Pohjois-Karjalan SHP;2020-07-01;0
Pohjois-Savon SHP;2020-07-01;0
Keski-Suomen SHP;2020-07-01;0
Etelä-Pohjanmaan SHP;2020-07-01;0
Vaasan SHP;2020-07-01;0
Keski-Pohjanmaan SHP;2020-07-01;0
Pohjois-Pohjanmaan SHP;2020-07-01;0
Kainuun SHP;2020-07-01;0
Länsi-Pohjan SHP;2020-07-01;0
Lapin SHP;2020-07-01;0
Helsingin ja Uudenmaan SHP;2020-07-01;2
Kaikki Alueet;2020-07-01;2
Ahvenanmaa;2020-07-02;0
Varsinais-Suomen SHP;2020-07-02;0
Satakunnan SHP;2020-07-02;0
Kanta-Hämeen SHP;2020-07-02;0
Pirkanmaan SHP;2020-07-02;0
Päijät-Hämeen SHP;2020-07-02;0
Kymenlaakson SHP;2020-07-02;0
Etelä-Karjalan SHP;2020-07-02;0
Etelä-Savon SHP;2020-07-02;0
Itä-Savon SHP;2020-07-02;0
Pohjois-Karjalan SHP;2020-07-02;0
Pohjois-Savon SHP;2020-07-02;0
Keski-Suomen SHP;2020-07-02;0
Etelä-Pohjanmaan SHP;2020-07-02;0
Vaasan SHP;2020-07-02;0
Keski-Pohjanmaan SHP;2020-07-02;0
Pohjois-Pohjanmaan SHP;2020-07-02;0
Kainuun SHP;2020-07-02;0
Länsi-Pohjan SHP;2020-07-02;0
Lapin SHP;2020-07-02;0
Helsingin ja Uudenmaan SHP;2020-07-02;7
Kaikki Alueet;2020-07-02;7
Ahvenanmaa;2020-07-03;0
Varsinais-Suomen SHP;2020-07-03;1
Satakunnan SHP;2020-07-03;0
Kanta-Hämeen SHP;2020-07-03;0
Pirkanmaan SHP;2020-07-03;0
Päijät-Hämeen SHP;2020-07-03;1
Kymenlaakson SHP;2020-07-03;1
Etelä-Karjalan SHP;2020-07-03;0
Etelä-Savon SHP;2020-07-03;0
Itä-Savon SHP;2020-07-03;0
Pohjois-Karjalan SHP;2020-07-03;0
Pohjois-Savon SHP;2020-07-03;0
Keski-Suomen SHP;2020-07-03;0
Etelä-Pohjanmaan SHP;2020-07-03;0
Vaasan SHP;2020-07-03;0
Keski-Pohjanmaan SHP;2020-07-03;0
Pohjois-Pohjanmaan SHP;2020-07-03;0
Kainuun SHP;2020-07-03;0
Länsi-Pohjan SHP;2020-07-03;0
Lapin SHP;2020-07-03;0
Helsingin ja Uudenmaan SHP;2020-07-03;2
Kaikki Alueet;2020-07-03;5
Ahvenanmaa;2020-07-04;0
Varsinais-Suomen SHP;2020-07-04;0
Satakunnan SHP;2020-07-04;0
Kanta-Hämeen SHP;2020-07-04;0
Pirkanmaan SHP;2020-07-04;0
Päijät-Hämeen SHP;2020-07-04;0
Kymenlaakson SHP;2020-07-04;0
Etelä-Karjalan SHP;2020-07-04;0
Etelä-Savon SHP;2020-07-04;0
Itä-Savon SHP;2020-07-04;0
Pohjois-Karjalan SHP;2020-07-04;0
Pohjois-Savon SHP;2020-07-04;0
Keski-Suomen SHP;2020-07-04;0
Etelä-Pohjanmaan SHP;2020-07-04;0
Vaasan SHP;2020-07-04;0
Keski-Pohjanmaan SHP;2020-07-04;0
Pohjois-Pohjanmaan SHP;2020-07-04;0
Kainuun SHP;2020-07-04;0
Länsi-Pohjan SHP;2020-07-04;0
Lapin SHP;2020-07-04;0
Helsingin ja Uudenmaan SHP;2020-07-04;2
Kaikki Alueet;2020-07-04;2
Ahvenanmaa;2020-07-05;0
Varsinais-Suomen SHP;2020-07-05;1
Satakunnan SHP;2020-07-05;0
Kanta-Hämeen SHP;2020-07-05;0
Pirkanmaan SHP;2020-07-05;0
Päijät-Hämeen SHP;2020-07-05;0
Kymenlaakson SHP;2020-07-05;0
Etelä-Karjalan SHP;2020-07-05;0
Etelä-Savon SHP;2020-07-05;0
Itä-Savon SHP;2020-07-05;0
Pohjois-Karjalan SHP;2020-07-05;0
Pohjois-Savon SHP;2020-07-05;0
Keski-Suomen SHP;2020-07-05;0
Etelä-Pohjanmaan SHP;2020-07-05;0
Vaasan SHP;2020-07-05;0
Keski-Pohjanmaan SHP;2020-07-05;0
Pohjois-Pohjanmaan SHP;2020-07-05;0
Kainuun SHP;2020-07-05;0
Länsi-Pohjan SHP;2020-07-05;0
Lapin SHP;2020-07-05;0
Helsingin ja Uudenmaan SHP;2020-07-05;1
Kaikki Alueet;2020-07-05;2
Ahvenanmaa;2020-07-06;0
Varsinais-Suomen SHP;2020-07-06;1
Satakunnan SHP;2020-07-06;0
Kanta-Hämeen SHP;2020-07-06;0
Pirkanmaan SHP;2020-07-06;0
Päijät-Hämeen SHP;2020-07-06;1
Kymenlaakson SHP;2020-07-06;0
Etelä-Karjalan SHP;2020-07-06;0
Etelä-Savon SHP;2020-07-06;0
Itä-Savon SHP;2020-07-06;0
Pohjois-Karjalan SHP;2020-07-06;0
Pohjois-Savon SHP;2020-07-06;0
Keski-Suomen SHP;2020-07-06;0
Etelä-Pohjanmaan SHP;2020-07-06;0
Vaasan SHP;2020-07-06;0
Keski-Pohjanmaan SHP;2020-07-06;0
Pohjois-Pohjanmaan SHP;2020-07-06;2
Kainuun SHP;2020-07-06;0
Länsi-Pohjan SHP;2020-07-06;0
Lapin SHP;2020-07-06;0
Helsingin ja Uudenmaan SHP;2020-07-06;2
Kaikki Alueet;2020-07-06;6
Ahvenanmaa;2020-07-07;0
Varsinais-Suomen SHP;2020-07-07;0
Satakunnan SHP;2020-07-07;1
Kanta-Hämeen SHP;2020-07-07;0
Pirkanmaan SHP;2020-07-07;0
Päijät-Hämeen SHP;2020-07-07;0
Kymenlaakson SHP;2020-07-07;0
Etelä-Karjalan SHP;2020-07-07;0
Etelä-Savon SHP;2020-07-07;0
Itä-Savon SHP;2020-07-07;0
Pohjois-Karjalan SHP;2020-07-07;0
Pohjois-Savon SHP;2020-07-07;0
Keski-Suomen SHP;2020-07-07;0
Etelä-Pohjanmaan SHP;2020-07-07;0
Vaasan SHP;2020-07-07;0
Keski-Pohjanmaan SHP;2020-07-07;0
Pohjois-Pohjanmaan SHP;2020-07-07;0
Kainuun SHP;2020-07-07;1
Länsi-Pohjan SHP;2020-07-07;0
Lapin SHP;2020-07-07;1
Helsingin ja Uudenmaan SHP;2020-07-07;0
Kaikki Alueet;2020-07-07;3
Ahvenanmaa;2020-07-08;0
Varsinais-Suomen SHP;2020-07-08;2
Satakunnan SHP;2020-07-08;1
Kanta-Hämeen SHP;2020-07-08;0
Pirkanmaan SHP;2020-07-08;0
Päijät-Hämeen SHP;2020-07-08;1
Kymenlaakson SHP;2020-07-08;0
Etelä-Karjalan SHP;2020-07-08;0
Etelä-Savon SHP;2020-07-08;0
Itä-Savon SHP;2020-07-08;0
Pohjois-Karjalan SHP;2020-07-08;0
Pohjois-Savon SHP;2020-07-08;0
Keski-Suomen SHP;2020-07-08;1
Etelä-Pohjanmaan SHP;2020-07-08;0
Vaasan SHP;2020-07-08;0
Keski-Pohjanmaan SHP;2020-07-08;0
Pohjois-Pohjanmaan SHP;2020-07-08;4
Kainuun SHP;2020-07-08;0
Länsi-Pohjan SHP;2020-07-08;0
Lapin SHP;2020-07-08;0
Helsingin ja Uudenmaan SHP;2020-07-08;1
Kaikki Alueet;2020-07-08;10
Ahvenanmaa;2020-07-09;0
Varsinais-Suomen SHP;2020-07-09;0
Satakunnan SHP;2020-07-09;0
Kanta-Hämeen SHP;2020-07-09;0
Pirkanmaan SHP;2020-07-09;1
Päijät-Hämeen SHP;2020-07-09;3
Kymenlaakson SHP;2020-07-09;0
Etelä-Karjalan SHP;2020-07-09;0
Etelä-Savon SHP;2020-07-09;0
Itä-Savon SHP;2020-07-09;0
Pohjois-Karjalan SHP;2020-07-09;0
Pohjois-Savon SHP;2020-07-09;0
Keski-Suomen SHP;2020-07-09;0
Etelä-Pohjanmaan SHP;2020-07-09;0
Vaasan SHP;2020-07-09;1
Keski-Pohjanmaan SHP;2020-07-09;0
Pohjois-Pohjanmaan SHP;2020-07-09;0
Kainuun SHP;2020-07-09;0
Länsi-Pohjan SHP;2020-07-09;0
Lapin SHP;2020-07-09;0
Helsingin ja Uudenmaan SHP;2020-07-09;3
Kaikki Alueet;2020-07-09;8
Ahvenanmaa;2020-07-10;0
Varsinais-Suomen SHP;2020-07-10;0
Satakunnan SHP;2020-07-10;0
Kanta-Hämeen SHP;2020-07-10;0
Pirkanmaan SHP;2020-07-10;0
Päijät-Hämeen SHP;2020-07-10;4
Kymenlaakson SHP;2020-07-10;0
Etelä-Karjalan SHP;2020-07-10;0
Etelä-Savon SHP;2020-07-10;0
Itä-Savon SHP;2020-07-10;0
Pohjois-Karjalan SHP;2020-07-10;0
Pohjois-Savon SHP;2020-07-10;0
Keski-Suomen SHP;2020-07-10;0
Etelä-Pohjanmaan SHP;2020-07-10;0
Vaasan SHP;2020-07-10;0
Keski-Pohjanmaan SHP;2020-07-10;0
Pohjois-Pohjanmaan SHP;2020-07-10;0
Kainuun SHP;2020-07-10;0
Länsi-Pohjan SHP;2020-07-10;0
Lapin SHP;2020-07-10;1
Helsingin ja Uudenmaan SHP;2020-07-10;2
Kaikki Alueet;2020-07-10;7
Ahvenanmaa;2020-07-11;0
Varsinais-Suomen SHP;2020-07-11;0
Satakunnan SHP;2020-07-11;0
Kanta-Hämeen SHP;2020-07-11;0
Pirkanmaan SHP;2020-07-11;0
Päijät-Hämeen SHP;2020-07-11;0
Kymenlaakson SHP;2020-07-11;0
Etelä-Karjalan SHP;2020-07-11;0
Etelä-Savon SHP;2020-07-11;0
Itä-Savon SHP;2020-07-11;0
Pohjois-Karjalan SHP;2020-07-11;0
Pohjois-Savon SHP;2020-07-11;0
Keski-Suomen SHP;2020-07-11;0
Etelä-Pohjanmaan SHP;2020-07-11;0
Vaasan SHP;2020-07-11;0
Keski-Pohjanmaan SHP;2020-07-11;0
Pohjois-Pohjanmaan SHP;2020-07-11;0
Kainuun SHP;2020-07-11;0
Länsi-Pohjan SHP;2020-07-11;0
Lapin SHP;2020-07-11;0
Helsingin ja Uudenmaan SHP;2020-07-11;0
Kaikki Alueet;2020-07-11;0
Ahvenanmaa;2020-07-12;0
Varsinais-Suomen SHP;2020-07-12;1
Satakunnan SHP;2020-07-12;0
Kanta-Hämeen SHP;2020-07-12;0
Pirkanmaan SHP;2020-07-12;0
Päijät-Hämeen SHP;2020-07-12;0
Kymenlaakson SHP;2020-07-12;0
Etelä-Karjalan SHP;2020-07-12;0
Etelä-Savon SHP;2020-07-12;0
Itä-Savon SHP;2020-07-12;0
Pohjois-Karjalan SHP;2020-07-12;0
Pohjois-Savon SHP;2020-07-12;0
Keski-Suomen SHP;2020-07-12;0
Etelä-Pohjanmaan SHP;2020-07-12;0
Vaasan SHP;2020-07-12;0
Keski-Pohjanmaan SHP;2020-07-12;0
Pohjois-Pohjanmaan SHP;2020-07-12;0
Kainuun SHP;2020-07-12;0
Länsi-Pohjan SHP;2020-07-12;0
Lapin SHP;2020-07-12;0
Helsingin ja Uudenmaan SHP;2020-07-12;3
Kaikki Alueet;2020-07-12;4
Ahvenanmaa;2020-07-13;0
Varsinais-Suomen SHP;2020-07-13;2
Satakunnan SHP;2020-07-13;0
Kanta-Hämeen SHP;2020-07-13;0
Pirkanmaan SHP;2020-07-13;0
Päijät-Hämeen SHP;2020-07-13;0
Kymenlaakson SHP;2020-07-13;0
Etelä-Karjalan SHP;2020-07-13;0
Etelä-Savon SHP;2020-07-13;0
Itä-Savon SHP;2020-07-13;0
Pohjois-Karjalan SHP;2020-07-13;1
Pohjois-Savon SHP;2020-07-13;0
Keski-Suomen SHP;2020-07-13;0
Etelä-Pohjanmaan SHP;2020-07-13;0
Vaasan SHP;2020-07-13;0
Keski-Pohjanmaan SHP;2020-07-13;0
Pohjois-Pohjanmaan SHP;2020-07-13;1
Kainuun SHP;2020-07-13;0
Länsi-Pohjan SHP;2020-07-13;0
Lapin SHP;2020-07-13;0
Helsingin ja Uudenmaan SHP;2020-07-13;2
Kaikki Alueet;2020-07-13;6
Ahvenanmaa;2020-07-14;0
Varsinais-Suomen SHP;2020-07-14;0
Satakunnan SHP;2020-07-14;1
Kanta-Hämeen SHP;2020-07-14;0
Pirkanmaan SHP;2020-07-14;0
Päijät-Hämeen SHP;2020-07-14;1
Kymenlaakson SHP;2020-07-14;0
Etelä-Karjalan SHP;2020-07-14;0
Etelä-Savon SHP;2020-07-14;0
Itä-Savon SHP;2020-07-14;0
Pohjois-Karjalan SHP;2020-07-14;0
Pohjois-Savon SHP;2020-07-14;0
Keski-Suomen SHP;2020-07-14;0
Etelä-Pohjanmaan SHP;2020-07-14;0
Vaasan SHP;2020-07-14;0
Keski-Pohjanmaan SHP;2020-07-14;0
Pohjois-Pohjanmaan SHP;2020-07-14;0
Kainuun SHP;2020-07-14;0
Länsi-Pohjan SHP;2020-07-14;0
Lapin SHP;2020-07-14;0
Helsingin ja Uudenmaan SHP;2020-07-14;3
Kaikki Alueet;2020-07-14;5
Ahvenanmaa;2020-07-15;0
Varsinais-Suomen SHP;2020-07-15;1
Satakunnan SHP;2020-07-15;0
Kanta-Hämeen SHP;2020-07-15;0
Pirkanmaan SHP;2020-07-15;0
Päijät-Hämeen SHP;2020-07-15;0
Kymenlaakson SHP;2020-07-15;0
Etelä-Karjalan SHP;2020-07-15;0
Etelä-Savon SHP;2020-07-15;0
Itä-Savon SHP;2020-07-15;0
Pohjois-Karjalan SHP;2020-07-15;0
Pohjois-Savon SHP;2020-07-15;0
Keski-Suomen SHP;2020-07-15;0
Etelä-Pohjanmaan SHP;2020-07-15;0
Vaasan SHP;2020-07-15;0
Keski-Pohjanmaan SHP;2020-07-15;0
Pohjois-Pohjanmaan SHP;2020-07-15;0
Kainuun SHP;2020-07-15;0
Länsi-Pohjan SHP;2020-07-15;0
Lapin SHP;2020-07-15;0
Helsingin ja Uudenmaan SHP;2020-07-15;4
Kaikki Alueet;2020-07-15;5
Ahvenanmaa;2020-07-16;0
Varsinais-Suomen SHP;2020-07-16;3
Satakunnan SHP;2020-07-16;0
Kanta-Hämeen SHP;2020-07-16;0
Pirkanmaan SHP;2020-07-16;0
Päijät-Hämeen SHP;2020-07-16;0
Kymenlaakson SHP;2020-07-16;0
Etelä-Karjalan SHP;2020-07-16;0
Etelä-Savon SHP;2020-07-16;0
Itä-Savon SHP;2020-07-16;0
Pohjois-Karjalan SHP;2020-07-16;0
Pohjois-Savon SHP;2020-07-16;0
Keski-Suomen SHP;2020-07-16;0
Etelä-Pohjanmaan SHP;2020-07-16;1
Vaasan SHP;2020-07-16;0
Keski-Pohjanmaan SHP;2020-07-16;0
Pohjois-Pohjanmaan SHP;2020-07-16;0
Kainuun SHP;2020-07-16;0
Länsi-Pohjan SHP;2020-07-16;0
Lapin SHP;2020-07-16;0
Helsingin ja Uudenmaan SHP;2020-07-16;6
Kaikki Alueet;2020-07-16;10
Ahvenanmaa;2020-07-17;0
Varsinais-Suomen SHP;2020-07-17;1
Satakunnan SHP;2020-07-17;0
Kanta-Hämeen SHP;2020-07-17;0
Pirkanmaan SHP;2020-07-17;0
Päijät-Hämeen SHP;2020-07-17;0
Kymenlaakson SHP;2020-07-17;0
Etelä-Karjalan SHP;2020-07-17;0
Etelä-Savon SHP;2020-07-17;0
Itä-Savon SHP;2020-07-17;0
Pohjois-Karjalan SHP;2020-07-17;0
Pohjois-Savon SHP;2020-07-17;0
Keski-Suomen SHP;2020-07-17;0
Etelä-Pohjanmaan SHP;2020-07-17;0
Vaasan SHP;2020-07-17;0
Keski-Pohjanmaan SHP;2020-07-17;0
Pohjois-Pohjanmaan SHP;2020-07-17;0
Kainuun SHP;2020-07-17;0
Länsi-Pohjan SHP;2020-07-17;0
Lapin SHP;2020-07-17;0
Helsingin ja Uudenmaan SHP;2020-07-17;5
Kaikki Alueet;2020-07-17;6
Ahvenanmaa;2020-07-18;0
Varsinais-Suomen SHP;2020-07-18;0
Satakunnan SHP;2020-07-18;2
Kanta-Hämeen SHP;2020-07-18;0
Pirkanmaan SHP;2020-07-18;0
Päijät-Hämeen SHP;2020-07-18;0
Kymenlaakson SHP;2020-07-18;0
Etelä-Karjalan SHP;2020-07-18;0
Etelä-Savon SHP;2020-07-18;0
Itä-Savon SHP;2020-07-18;0
Pohjois-Karjalan SHP;2020-07-18;0
Pohjois-Savon SHP;2020-07-18;0
Keski-Suomen SHP;2020-07-18;3
Etelä-Pohjanmaan SHP;2020-07-18;0
Vaasan SHP;2020-07-18;0
Keski-Pohjanmaan SHP;2020-07-18;0
Pohjois-Pohjanmaan SHP;2020-07-18;0
Kainuun SHP;2020-07-18;0
Länsi-Pohjan SHP;2020-07-18;0
Lapin SHP;2020-07-18;0
Helsingin ja Uudenmaan SHP;2020-07-18;2
Kaikki Alueet;2020-07-18;7
Ahvenanmaa;2020-07-19;0
Varsinais-Suomen SHP;2020-07-19;0
Satakunnan SHP;2020-07-19;0
Kanta-Hämeen SHP;2020-07-19;0
Pirkanmaan SHP;2020-07-19;0
Päijät-Hämeen SHP;2020-07-19;0
Kymenlaakson SHP;2020-07-19;0
Etelä-Karjalan SHP;2020-07-19;0
Etelä-Savon SHP;2020-07-19;0
Itä-Savon SHP;2020-07-19;0
Pohjois-Karjalan SHP;2020-07-19;0
Pohjois-Savon SHP;2020-07-19;0
Keski-Suomen SHP;2020-07-19;0
Etelä-Pohjanmaan SHP;2020-07-19;0
Vaasan SHP;2020-07-19;0
Keski-Pohjanmaan SHP;2020-07-19;0
Pohjois-Pohjanmaan SHP;2020-07-19;0
Kainuun SHP;2020-07-19;0
Länsi-Pohjan SHP;2020-07-19;0
Lapin SHP;2020-07-19;0
Helsingin ja Uudenmaan SHP;2020-07-19;3
Kaikki Alueet;2020-07-19;3
Ahvenanmaa;2020-07-20;1
Varsinais-Suomen SHP;2020-07-20;5
Satakunnan SHP;2020-07-20;1
Kanta-Hämeen SHP;2020-07-20;0
Pirkanmaan SHP;2020-07-20;0
Päijät-Hämeen SHP;2020-07-20;0
Kymenlaakson SHP;2020-07-20;0
Etelä-Karjalan SHP;2020-07-20;0
Etelä-Savon SHP;2020-07-20;0
Itä-Savon SHP;2020-07-20;0
Pohjois-Karjalan SHP;2020-07-20;0
Pohjois-Savon SHP;2020-07-20;0
Keski-Suomen SHP;2020-07-20;0
Etelä-Pohjanmaan SHP;2020-07-20;0
Vaasan SHP;2020-07-20;0
Keski-Pohjanmaan SHP;2020-07-20;0
Pohjois-Pohjanmaan SHP;2020-07-20;1
Kainuun SHP;2020-07-20;0
Länsi-Pohjan SHP;2020-07-20;0
Lapin SHP;2020-07-20;0
Helsingin ja Uudenmaan SHP;2020-07-20;4
Kaikki Alueet;2020-07-20;12
Ahvenanmaa;2020-07-21;0
Varsinais-Suomen SHP;2020-07-21;0
Satakunnan SHP;2020-07-21;0
Kanta-Hämeen SHP;2020-07-21;0
Pirkanmaan SHP;2020-07-21;0
Päijät-Hämeen SHP;2020-07-21;0
Kymenlaakson SHP;2020-07-21;0
Etelä-Karjalan SHP;2020-07-21;0
Etelä-Savon SHP;2020-07-21;0
Itä-Savon SHP;2020-07-21;0
Pohjois-Karjalan SHP;2020-07-21;0
Pohjois-Savon SHP;2020-07-21;0
Keski-Suomen SHP;2020-07-21;0
Etelä-Pohjanmaan SHP;2020-07-21;0
Vaasan SHP;2020-07-21;0
Keski-Pohjanmaan SHP;2020-07-21;0
Pohjois-Pohjanmaan SHP;2020-07-21;0
Kainuun SHP;2020-07-21;0
Länsi-Pohjan SHP;2020-07-21;0
Lapin SHP;2020-07-21;0
Helsingin ja Uudenmaan SHP;2020-07-21;7
Kaikki Alueet;2020-07-21;7
Ahvenanmaa;2020-07-22;0
Varsinais-Suomen SHP;2020-07-22;2
Satakunnan SHP;2020-07-22;0
Kanta-Hämeen SHP;2020-07-22;0
Pirkanmaan SHP;2020-07-22;0
Päijät-Hämeen SHP;2020-07-22;0
Kymenlaakson SHP;2020-07-22;0
Etelä-Karjalan SHP;2020-07-22;0
Etelä-Savon SHP;2020-07-22;0
Itä-Savon SHP;2020-07-22;0
Pohjois-Karjalan SHP;2020-07-22;0
Pohjois-Savon SHP;2020-07-22;0
Keski-Suomen SHP;2020-07-22;0
Etelä-Pohjanmaan SHP;2020-07-22;1
Vaasan SHP;2020-07-22;0
Keski-Pohjanmaan SHP;2020-07-22;0
Pohjois-Pohjanmaan SHP;2020-07-22;1
Kainuun SHP;2020-07-22;0
Länsi-Pohjan SHP;2020-07-22;0
Lapin SHP;2020-07-22;0
Helsingin ja Uudenmaan SHP;2020-07-22;6
Kaikki Alueet;2020-07-22;10
Ahvenanmaa;2020-07-23;0
Varsinais-Suomen SHP;2020-07-23;1
Satakunnan SHP;2020-07-23;0
Kanta-Hämeen SHP;2020-07-23;0
Pirkanmaan SHP;2020-07-23;0
Päijät-Hämeen SHP;2020-07-23;0
Kymenlaakson SHP;2020-07-23;1
Etelä-Karjalan SHP;2020-07-23;0
Etelä-Savon SHP;2020-07-23;0
Itä-Savon SHP;2020-07-23;0
Pohjois-Karjalan SHP;2020-07-23;0
Pohjois-Savon SHP;2020-07-23;0
Keski-Suomen SHP;2020-07-23;0
Etelä-Pohjanmaan SHP;2020-07-23;0
Vaasan SHP;2020-07-23;0
Keski-Pohjanmaan SHP;2020-07-23;0
Pohjois-Pohjanmaan SHP;2020-07-23;0
Kainuun SHP;2020-07-23;0
Länsi-Pohjan SHP;2020-07-23;0
Lapin SHP;2020-07-23;0
Helsingin ja Uudenmaan SHP;2020-07-23;1
Kaikki Alueet;2020-07-23;3
Ahvenanmaa;2020-07-24;0
Varsinais-Suomen SHP;2020-07-24;0
Satakunnan SHP;2020-07-24;2
Kanta-Hämeen SHP;2020-07-24;0
Pirkanmaan SHP;2020-07-24;0
Päijät-Hämeen SHP;2020-07-24;0
Kymenlaakson SHP;2020-07-24;0
Etelä-Karjalan SHP;2020-07-24;0
Etelä-Savon SHP;2020-07-24;0
Itä-Savon SHP;2020-07-24;0
Pohjois-Karjalan SHP;2020-07-24;0
Pohjois-Savon SHP;2020-07-24;0
Keski-Suomen SHP;2020-07-24;0
Etelä-Pohjanmaan SHP;2020-07-24;0
Vaasan SHP;2020-07-24;0
Keski-Pohjanmaan SHP;2020-07-24;0
Pohjois-Pohjanmaan SHP;2020-07-24;0
Kainuun SHP;2020-07-24;0
Länsi-Pohjan SHP;2020-07-24;0
Lapin SHP;2020-07-24;0
Helsingin ja Uudenmaan SHP;2020-07-24;7
Kaikki Alueet;2020-07-24;9
Ahvenanmaa;2020-07-25;0
Varsinais-Suomen SHP;2020-07-25;0
Satakunnan SHP;2020-07-25;0
Kanta-Hämeen SHP;2020-07-25;0
Pirkanmaan SHP;2020-07-25;0
Päijät-Hämeen SHP;2020-07-25;0
Kymenlaakson SHP;2020-07-25;0
Etelä-Karjalan SHP;2020-07-25;0
Etelä-Savon SHP;2020-07-25;0
Itä-Savon SHP;2020-07-25;0
Pohjois-Karjalan SHP;2020-07-25;0
Pohjois-Savon SHP;2020-07-25;0
Keski-Suomen SHP;2020-07-25;0
Etelä-Pohjanmaan SHP;2020-07-25;0
Vaasan SHP;2020-07-25;0
Keski-Pohjanmaan SHP;2020-07-25;0
Pohjois-Pohjanmaan SHP;2020-07-25;0
Kainuun SHP;2020-07-25;0
Länsi-Pohjan SHP;2020-07-25;0
Lapin SHP;2020-07-25;0
Helsingin ja Uudenmaan SHP;2020-07-25;2
Kaikki Alueet;2020-07-25;2
Ahvenanmaa;2020-07-26;0
Varsinais-Suomen SHP;2020-07-26;0
Satakunnan SHP;2020-07-26;1
Kanta-Hämeen SHP;2020-07-26;0
Pirkanmaan SHP;2020-07-26;0
Päijät-Hämeen SHP;2020-07-26;0
Kymenlaakson SHP;2020-07-26;3
Etelä-Karjalan SHP;2020-07-26;0
Etelä-Savon SHP;2020-07-26;0
Itä-Savon SHP;2020-07-26;0
Pohjois-Karjalan SHP;2020-07-26;0
Pohjois-Savon SHP;2020-07-26;0
Keski-Suomen SHP;2020-07-26;0
Etelä-Pohjanmaan SHP;2020-07-26;0
Vaasan SHP;2020-07-26;0
Keski-Pohjanmaan SHP;2020-07-26;0
Pohjois-Pohjanmaan SHP;2020-07-26;0
Kainuun SHP;2020-07-26;0
Länsi-Pohjan SHP;2020-07-26;0
Lapin SHP;2020-07-26;0
Helsingin ja Uudenmaan SHP;2020-07-26;3
Kaikki Alueet;2020-07-26;7
Ahvenanmaa;2020-07-27;0
Varsinais-Suomen SHP;2020-07-27;0
Satakunnan SHP;2020-07-27;0
Kanta-Hämeen SHP;2020-07-27;0
Pirkanmaan SHP;2020-07-27;0
Päijät-Hämeen SHP;2020-07-27;0
Kymenlaakson SHP;2020-07-27;0
Etelä-Karjalan SHP;2020-07-27;0
Etelä-Savon SHP;2020-07-27;0
Itä-Savon SHP;2020-07-27;0
Pohjois-Karjalan SHP;2020-07-27;0
Pohjois-Savon SHP;2020-07-27;0
Keski-Suomen SHP;2020-07-27;0
Etelä-Pohjanmaan SHP;2020-07-27;0
Vaasan SHP;2020-07-27;0
Keski-Pohjanmaan SHP;2020-07-27;0
Pohjois-Pohjanmaan SHP;2020-07-27;0
Kainuun SHP;2020-07-27;0
Länsi-Pohjan SHP;2020-07-27;0
Lapin SHP;2020-07-27;0
Helsingin ja Uudenmaan SHP;2020-07-27;2
Kaikki Alueet;2020-07-27;2
Ahvenanmaa;2020-07-28;0
Varsinais-Suomen SHP;2020-07-28;0
Satakunnan SHP;2020-07-28;0
Kanta-Hämeen SHP;2020-07-28;0
Pirkanmaan SHP;2020-07-28;0
Päijät-Hämeen SHP;2020-07-28;0
Kymenlaakson SHP;2020-07-28;0
Etelä-Karjalan SHP;2020-07-28;0
Etelä-Savon SHP;2020-07-28;0
Itä-Savon SHP;2020-07-28;0
Pohjois-Karjalan SHP;2020-07-28;0
Pohjois-Savon SHP;2020-07-28;0
Keski-Suomen SHP;2020-07-28;0
Etelä-Pohjanmaan SHP;2020-07-28;0
Vaasan SHP;2020-07-28;0
Keski-Pohjanmaan SHP;2020-07-28;0
Pohjois-Pohjanmaan SHP;2020-07-28;0
Kainuun SHP;2020-07-28;0
Länsi-Pohjan SHP;2020-07-28;0
Lapin SHP;2020-07-28;0
Helsingin ja Uudenmaan SHP;2020-07-28;0
Kaikki Alueet;2020-07-28;0
Ahvenanmaa;2020-07-29;
Varsinais-Suomen SHP;2020-07-29;
Satakunnan SHP;2020-07-29;
Kanta-Hämeen SHP;2020-07-29;
Pirkanmaan SHP;2020-07-29;
Päijät-Hämeen SHP;2020-07-29;
Kymenlaakson SHP;2020-07-29;
Etelä-Karjalan SHP;2020-07-29;
Etelä-Savon SHP;2020-07-29;
Itä-Savon SHP;2020-07-29;
Pohjois-Karjalan SHP;2020-07-29;
