Alue;Aika;val
Pirkanmaan SHP;2020-01-11;
Päijät-Hämeen SHP;2020-01-11;
Kymenlaakson SHP;2020-01-11;
Etelä-Karjalan SHP;2020-01-11;
Etelä-Savon SHP;2020-01-11;
Itä-Savon SHP;2020-01-11;
Pohjois-Karjalan SHP;2020-01-11;
Pohjois-Savon SHP;2020-01-11;
Keski-Suomen SHP;2020-01-11;
Etelä-Pohjanmaan SHP;2020-01-11;
Vaasan SHP;2020-01-11;
Keski-Pohjanmaan SHP;2020-01-11;
Pohjois-Pohjanmaan SHP;2020-01-11;
Kainuun SHP;2020-01-11;
Länsi-Pohjan SHP;2020-01-11;
Lapin SHP;2020-01-11;
Helsingin ja Uudenmaan SHP;2020-01-11;
Kaikki Alueet;2020-01-11;
Ahvenanmaa;2020-01-12;
Varsinais-Suomen SHP;2020-01-12;
Satakunnan SHP;2020-01-12;
Kanta-Hämeen SHP;2020-01-12;
Pirkanmaan SHP;2020-01-12;
Päijät-Hämeen SHP;2020-01-12;
Kymenlaakson SHP;2020-01-12;
Etelä-Karjalan SHP;2020-01-12;
Etelä-Savon SHP;2020-01-12;
Itä-Savon SHP;2020-01-12;
Pohjois-Karjalan SHP;2020-01-12;
Pohjois-Savon SHP;2020-01-12;
Keski-Suomen SHP;2020-01-12;
Etelä-Pohjanmaan SHP;2020-01-12;
Vaasan SHP;2020-01-12;
Keski-Pohjanmaan SHP;2020-01-12;
Pohjois-Pohjanmaan SHP;2020-01-12;
Kainuun SHP;2020-01-12;
Länsi-Pohjan SHP;2020-01-12;
Lapin SHP;2020-01-12;
Helsingin ja Uudenmaan SHP;2020-01-12;
Kaikki Alueet;2020-01-12;
Ahvenanmaa;2020-01-13;
Varsinais-Suomen SHP;2020-01-13;
Satakunnan SHP;2020-01-13;
Kanta-Hämeen SHP;2020-01-13;
Pirkanmaan SHP;2020-01-13;
Päijät-Hämeen SHP;2020-01-13;
Kymenlaakson SHP;2020-01-13;
Etelä-Karjalan SHP;2020-01-13;
Etelä-Savon SHP;2020-01-13;
Itä-Savon SHP;2020-01-13;
Pohjois-Karjalan SHP;2020-01-13;
Pohjois-Savon SHP;2020-01-13;
Keski-Suomen SHP;2020-01-13;
Etelä-Pohjanmaan SHP;2020-01-13;
Vaasan SHP;2020-01-13;
Keski-Pohjanmaan SHP;2020-01-13;
Pohjois-Pohjanmaan SHP;2020-01-13;
Kainuun SHP;2020-01-13;
Länsi-Pohjan SHP;2020-01-13;
Lapin SHP;2020-01-13;
Helsingin ja Uudenmaan SHP;2020-01-13;
Kaikki Alueet;2020-01-13;
Ahvenanmaa;2020-01-14;
Varsinais-Suomen SHP;2020-01-14;
Satakunnan SHP;2020-01-14;
Kanta-Hämeen SHP;2020-01-14;
Pirkanmaan SHP;2020-01-14;
Päijät-Hämeen SHP;2020-01-14;
Kymenlaakson SHP;2020-01-14;
Etelä-Karjalan SHP;2020-01-14;
Etelä-Savon SHP;2020-01-14;
Itä-Savon SHP;2020-01-14;
Pohjois-Karjalan SHP;2020-01-14;
Pohjois-Savon SHP;2020-01-14;
Keski-Suomen SHP;2020-01-14;
Etelä-Pohjanmaan SHP;2020-01-14;
Vaasan SHP;2020-01-14;
Keski-Pohjanmaan SHP;2020-01-14;
Pohjois-Pohjanmaan SHP;2020-01-14;
Kainuun SHP;2020-01-14;
Länsi-Pohjan SHP;2020-01-14;
Lapin SHP;2020-01-14;
Helsingin ja Uudenmaan SHP;2020-01-14;
Kaikki Alueet;2020-01-14;
Ahvenanmaa;2020-01-15;
Varsinais-Suomen SHP;2020-01-15;
Satakunnan SHP;2020-01-15;
Kanta-Hämeen SHP;2020-01-15;
Pirkanmaan SHP;2020-01-15;
Päijät-Hämeen SHP;2020-01-15;
Kymenlaakson SHP;2020-01-15;
Etelä-Karjalan SHP;2020-01-15;
Etelä-Savon SHP;2020-01-15;
Itä-Savon SHP;2020-01-15;
Pohjois-Karjalan SHP;2020-01-15;
Pohjois-Savon SHP;2020-01-15;
Keski-Suomen SHP;2020-01-15;
Etelä-Pohjanmaan SHP;2020-01-15;
Vaasan SHP;2020-01-15;
Keski-Pohjanmaan SHP;2020-01-15;
Pohjois-Pohjanmaan SHP;2020-01-15;
Kainuun SHP;2020-01-15;
Länsi-Pohjan SHP;2020-01-15;
Lapin SHP;2020-01-15;
Helsingin ja Uudenmaan SHP;2020-01-15;
Kaikki Alueet;2020-01-15;
Ahvenanmaa;2020-01-16;
Varsinais-Suomen SHP;2020-01-16;
Satakunnan SHP;2020-01-16;
Kanta-Hämeen SHP;2020-01-16;
Pirkanmaan SHP;2020-01-16;
Päijät-Hämeen SHP;2020-01-16;
Kymenlaakson SHP;2020-01-16;
Etelä-Karjalan SHP;2020-01-16;
Etelä-Savon SHP;2020-01-16;
Itä-Savon SHP;2020-01-16;
Pohjois-Karjalan SHP;2020-01-16;
Pohjois-Savon SHP;2020-01-16;
Keski-Suomen SHP;2020-01-16;
Etelä-Pohjanmaan SHP;2020-01-16;
Vaasan SHP;2020-01-16;
Keski-Pohjanmaan SHP;2020-01-16;
Pohjois-Pohjanmaan SHP;2020-01-16;
Kainuun SHP;2020-01-16;
Länsi-Pohjan SHP;2020-01-16;
Lapin SHP;2020-01-16;
Helsingin ja Uudenmaan SHP;2020-01-16;
Kaikki Alueet;2020-01-16;
Ahvenanmaa;2020-01-17;
Varsinais-Suomen SHP;2020-01-17;
Satakunnan SHP;2020-01-17;
Kanta-Hämeen SHP;2020-01-17;
Pirkanmaan SHP;2020-01-17;
