"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"262","2021-01-11","18","50","26"
"263","2021-01-12","23","43","38"
"264","2021-01-13","18","31","49"
"265","2021-01-14","21","42","33"
"266","2021-01-15","23","26","35"
"267","2021-01-16","16","12","3"
"268","2021-01-17","11","19","2"
"269","2021-01-18","24","29","37"
"270","2021-01-19","16","41","8"
"271","2021-01-20","22","28","29"
"272","2021-01-21","17","34","48"
"273","2021-01-22","20","19","20"
"274","2021-01-23","17","15","6"
"275","2021-01-24","10","13","30"
"276","2021-01-25","44","26","43"
"277","2021-01-26","23","30","49"
"278","2021-01-27","17","32","114"
"279","2021-01-28","17","36","74"
"280","2021-01-29","16","50","103"
"281","2021-01-30","14","37","30"
"282","2021-01-31","10","39","22"
"283","2021-02-01","20","26","9"
"284","2021-02-02","15","17","20"
"285","2021-02-03","8","15","32"
"286","2021-02-04","6","16","34"
"287","2021-02-05","20","8","29"
"288","2021-02-06","19","17","1"
"289","2021-02-07","13","19","4"
"290","2021-02-08","21","46","17"
"291","2021-02-09","18","29","23"
"292","2021-02-10","23","20","52"
"293","2021-02-11","19","22","38"
"294","2021-02-12","19","31","24"
"295","2021-02-13","12","12","1"
"296","2021-02-14","22","12","1"
"297","2021-02-15","28","38","38"
"298","2021-02-16","17","23","36"
"299","2021-02-17","20","34","27"
"300","2021-02-18","9","33","29"
"301","2021-02-19","15","24","59"
"302","2021-02-20","44","15","2"
"303","2021-02-21","11","8","1"
"304","2021-02-22","26","36","41"
"305","2021-02-23","20","32","23"
"306","2021-02-24","17","21","31"
"307","2021-02-25","18","41","8"
"308","2021-02-26","29","36","14"
"309","2021-02-27","18","24","1"
"310","2021-02-28","28","30","7"
"311","2021-03-01","30","58","50"
"312","2021-03-02","23","22","22"
"313","2021-03-03","16","25","30"
"314","2021-03-04","17","58","84"
"315","2021-03-05","16","41","53"
"316","2021-03-06","14","14","3"
"317","2021-03-07","13","14","10"
"318","2021-03-08","15","25","60"
"319","2021-03-09","20","37","81"
"320","2021-03-10","43","32","35"
"321","2021-03-11","26","21","37"
"322","2021-03-12","24","30","7"
"323","2021-03-13","16","37","3"
"324","2021-03-14","32","32","0"
"325","2021-03-15","50","60","80"
"326","2021-03-16","23","34","18"
"327","2021-03-17","21","45","30"
"328","2021-03-18","38","48","20"
"329","2021-03-19","40","53","37"
"330","2021-03-20","38","25","3"
"331","2021-03-21","27","47","22"
"332","2021-03-22","37","52","50"
"333","2021-03-23","23","73","52"
"334","2021-03-24","24","55","81"
"335","2021-03-25","46","53","74"
"336","2021-03-26","21","54","36"
"337","2021-03-27","19","38","2"
"338","2021-03-28","25","40","5"
"339","2021-03-29","17","46","11"
"340","2021-03-30","23","43","20"
"341","2021-03-31","37","38","4"
