Datums;AdministrativiTeritorialasVienibasNosaukums;ATVK;ApstiprinataCOVID19infekcija;AktivaCOVID19infekcija;;;
2020.03.21.;Daugavpils novads;0440200;0;...;;;
2020.03.21.;Dobeles novads;0460200;0;...;;;
2020.03.21.;Dundagas novads;0885100;0;...;;;
2020.03.21.;Durbes novads;0640801;0;...;;;
2020.03.21.;Engures novads;0905100;0;...;;;
2020.03.21.;Ērgļu novads;0705500;0;...;;;
2020.03.21.;Garkalnes novads;0806000;no 1 līdz 5;...;;;
2020.03.21.;Grobiņas novads;0641000;no 1 līdz 5;...;;;
2020.03.21.;Gulbenes novads;0500200;0;...;;;
2020.03.21.;Iecavas novads;0406400;0;...;;;
2020.03.21.;Ikšķiles novads;0740600;0;...;;;
2020.03.21.;Ilūkstes novads;0440801;0;...;;;
2020.03.21.;Inčukalna novads;0801800;0;...;;;
2020.03.21.;Jaunjelgavas novads;0321000;0;...;;;
2020.03.21.;Jaunpiebalgas novads;0425700;0;...;;;
2020.03.21.;Jaunpils novads;0905700;0;...;;;
2020.03.21.;Jelgava;0090000;0;...;;;
2020.03.21.;Jelgavas novads;0540200;0;...;;;
2020.03.21.;Jēkabpils;0110000;no 1 līdz 5;...;;;
2020.03.21.;Jēkabpils novads;0560200;0;...;;;
2020.03.21.;Jūrmala;0130000;10;...;;;
2020.03.21.;Kandavas novads;0901201;0;...;;;
2020.03.21.;Kārsavas novads;0681000;0;...;;;
2020.03.21.;Kocēnu novads;0960200;0;...;;;
2020.03.21.;Kokneses novads;0326100;0;...;;;
2020.03.21.;Krāslavas novads;0600202;0;...;;;
2020.03.21.;Krimuldas novads;0806900;0;...;;;
2020.03.21.;Krustpils novads;0566900;0;...;;;
2020.03.21.;Kuldīgas novads;0620200;no 1 līdz 5;...;;;
2020.03.21.;Ķeguma novads;0741001;0;...;;;
2020.03.21.;Ķekavas novads;0800800;no 1 līdz 5;...;;;
2020.03.21.;Lielvārdes novads;0741401;0;...;;;
2020.03.21.;Liepāja;0170000;no 1 līdz 5;...;;;
2020.03.21.;Limbažu novads;0660200;0;...;;;
2020.03.21.;Līgatnes novads;0421200;0;...;;;
2020.03.21.;Līvānu novads;0761201;0;...;;;
2020.03.21.;Lubānas novads;0701400;0;...;;;
2020.03.21.;Ludzas novads;0680200;0;...;;;
2020.03.21.;Madonas novads;0700200;0;...;;;
2020.03.21.;Mazsalacas novads;0961000;0;...;;;
2020.03.21.;Mālpils novads;0807400;0;...;;;
2020.03.21.;Mārupes novads;0807600;no 1 līdz 5;...;;;
2020.03.21.;Mērsraga novads;0887600;0;...;;;
2020.03.21.;Naukšēnu novads;0967300;0;...;;;
2020.03.21.;Neretas novads;0327100;0;...;;;
2020.03.21.;Nīcas novads;0647900;0;...;;;
2020.03.21.;Ogres novads;0740202;no 1 līdz 5;...;;;
2020.03.21.;Olaines novads;0801000;no 1 līdz 5;...;;;
2020.03.21.;Ozolnieku novads;0546701;no 1 līdz 5;...;;;
2020.03.21.;Pārgaujas novads;0427500;0;...;;;
2020.03.21.;Pāvilostas novads;0641401;0;...;;;
2020.03.21.;Pļaviņu novads;0321400;0;...;;;
2020.03.21.;Preiļu novads;0760202;0;...;;;
2020.03.21.;Priekules novads;0641600;0;...;;;
2020.03.21.;Priekuļu novads;0427300;0;...;;;
2020.03.21.;Raunas novads;0427700;0;...;;;
2020.03.21.;Rēzekne;0210000;no 1 līdz 5;...;;;
2020.03.21.;Rēzeknes novads;0780200;0;...;;;
2020.03.21.;Riebiņu novads;0766300;0;...;;;
2020.03.21.;Rīga;0010000;68;...;;;
2020.03.21.;Rojas novads;0888301;0;...;;;
2020.03.21.;Ropažu novads;0808400;0;...;;;
2020.03.21.;Rucavas novads;0648500;0;...;;;
2020.03.21.;Rugāju novads;0387500;0;...;;;
2020.03.21.;Rundāles novads;0407700;0;...;;;
2020.03.21.;Rūjienas novads;0961600;0;...;;;
2020.03.21.;Salacgrīvas novads;0661400;0;...;;;
2020.03.21.;Salas novads;0568700;0;...;;;
2020.03.21.;Salaspils novads;0801200;no 1 līdz 5;...;;;
2020.03.21.;Saldus novads;0840200;0;...;;;
2020.03.21.;Saulkrastu novads;0801400;0;...;;;
